Base_ID,has_ICPMS,has_XRF,has_ASD,has_FTIR,n_datasets,Data_Tier
JPL24,FALSE,FALSE,TRUE,FALSE,1,3
JPL26,FALSE,FALSE,TRUE,FALSE,1,3
JPL27,FALSE,FALSE,TRUE,FALSE,1,3
JPL30,FALSE,FALSE,TRUE,FALSE,1,3
JPL31,FALSE,FALSE,TRUE,FALSE,1,3
JPL32,FALSE,FALSE,TRUE,FALSE,1,3
JPL34,FALSE,FALSE,TRUE,FALSE,1,3
JPL36,FALSE,FALSE,TRUE,FALSE,1,3
JPL37,FALSE,FALSE,TRUE,FALSE,1,3
JPL38,FALSE,FALSE,TRUE,FALSE,1,3
JPL39,FALSE,FALSE,TRUE,FALSE,1,3
JPL41,FALSE,FALSE,TRUE,FALSE,1,3
JPL42,FALSE,FALSE,TRUE,FALSE,1,3
JPL44,FALSE,FALSE,TRUE,FALSE,1,3
JPL45,FALSE,FALSE,TRUE,FALSE,1,3
JPL46,FALSE,FALSE,TRUE,FALSE,1,3
JPL47,FALSE,FALSE,TRUE,FALSE,1,3
JPL49,FALSE,FALSE,TRUE,FALSE,1,3
JPL53,FALSE,FALSE,TRUE,FALSE,1,3
JPL55,FALSE,FALSE,TRUE,FALSE,1,3
JPL56,FALSE,FALSE,TRUE,FALSE,1,3
JPL57,FALSE,FALSE,TRUE,FALSE,1,3
JPL60,FALSE,FALSE,TRUE,FALSE,1,3
JPL64,FALSE,FALSE,TRUE,FALSE,1,3
JPL66,FALSE,FALSE,TRUE,FALSE,1,3
JPL71,FALSE,FALSE,TRUE,FALSE,1,3
JPL72,FALSE,FALSE,TRUE,FALSE,1,3
JPL74,FALSE,FALSE,TRUE,FALSE,1,3
JPL75,FALSE,FALSE,TRUE,FALSE,1,3
JPL78,FALSE,FALSE,TRUE,FALSE,1,3
JPL80,FALSE,FALSE,TRUE,FALSE,1,3
JPL81,FALSE,FALSE,TRUE,FALSE,1,3
JPL82,FALSE,FALSE,TRUE,FALSE,1,3
JPL83,FALSE,FALSE,TRUE,FALSE,1,3
JPL85,FALSE,FALSE,TRUE,FALSE,1,3
JPL87,FALSE,FALSE,TRUE,FALSE,1,3
JPL88,FALSE,FALSE,TRUE,FALSE,1,3
JPL90,FALSE,FALSE,TRUE,FALSE,1,3
JPL91,FALSE,FALSE,TRUE,FALSE,1,3
JPL92,FALSE,FALSE,TRUE,FALSE,1,3
JPL93,FALSE,FALSE,TRUE,FALSE,1,3
GPS15,FALSE,FALSE,FALSE,TRUE,1,3
