ID,method,Pb_La1_cps,Pb_La1_err_cps,Pb_La2_cps,Pb_La2_err_cps,Pb_Lb1_cps,Pb_Lb1_err_cps,Pb_Lb2_cps,Pb_Lb2_err_cps,Pb_Lb3_cps,Pb_Lb3_err_cps,Pb_Lb4_cps,Pb_Lb4_err_cps,Pb_FP_ppm,Pb_FP_err,Pb_prediction,
JPL06,powder,54.738,2.951,6.026,0.325,40.183,2.166,18.91,1.02,5.17,0.279,3.897,0.21,225,12.2,17.1,
JPL07,pellet,10.529,2.556,1.166,0.281,81.169,1.877,38.206,0.883,10.442,0.241,7.873,0.182,351,8.1,93.3,
JPL07,powder,106.062,3.321,11.676,0.366,77.758,2.434,36.601,1.146,10.003,0.313,7.543,0.236,430,18.6,77.1,
JPL09,pellet,69.698,2.454,7.672,0.27,51.202,1.803,24.101,0.849,6.587,0.232,4.966,0.175,199,7,42.6,
JPL09,powder,112.431,5.937,12.379,0.654,82.266,4.344,38.722,2.045,10.581,0.559,7.982,0.422,431,22.8,88.6,
JPL11,pellet,89.189,2.474,9.818,0.272,65.441,1.815,30.803,0.854,8.419,0.234,6.348,0.176,259,7.2,66.7,
JPL11,powder,97.953,5.411,10.784,0.596,71.716,3.961,33.756,1.865,9.225,0.51,6.958,0.384,384,21.2,69.5,
JPL15,pellet,92.349,2.365,10.164,0.26,67.956,1.74,31.987,0.819,8.744,0.224,6.59,0.169,258,6.6,71.0,
JPL15,powder,50.699,2.871,5.582,0.316,37.144,2.103,17.483,0.99,4.778,0.271,3.604,0.204,357,12.1,14.8,
JPL18,pellet,60.703,2.396,6.681,0.264,44.62,1.761,21.002,0.829,5.741,0.227,4.327,0.171,167,6.6,31.1,
JPL18,powder,78.879,3.203,8.685,0.353,57.714,2.344,27.165,1.103,7.423,0.301,5.6,0.227,308,12.6,49.5,
JPL25,pellet,61.098,2.232,6.726,0.246,44.878,1.639,21.124,0.772,5.774,0.211,4.353,0.159,169,6.2,31.7,
JPL25,powder,50.699,2.871,5.582,0.316,37.144,2.103,17.483,0.99,4.778,0.271,3.604,0.204,196,11.1,14.8,
JPL28,pellet,76.522,3.323,8.423,0.256,56.174,1.705,26.441,0.803,7.227,0.219,5.449,0.165,241,7.3,50.9,
JPL28,powder,73.478,3.013,8.09,0.332,53.812,2.207,25.329,1.039,6.922,0.284,5.221,0.214,347,14.3,41.2,
JPL29,pellet,76.928,2.276,8.468,0.251,56.451,1.67,26.571,0.786,7.262,0.215,5.476,0.162,261,7.8,51.2,
JPL29,powder,65.792,5.397,7.243,0.594,48.192,3.953,22.683,1.861,6.199,0.508,4.675,0.384,286,23.5,32.5,
JPL33,pellet,58.693,2.377,6.461,0.262,43.012,1.742,20.245,0.82,5.533,0.224,4.173,0.169,183,7.4,28.3,
JPL33,powder,64.548,5.642,7.108,0.621,47.144,4.121,22.19,1.94,6.063,0.53,4.575,0.4,264,23.1,33.7,
JPL40,pellet,75.043,2.361,8.261,0.26,55.048,1.732,25.911,0.815,7.082,0.223,5.34,0.168,262,8.1,49.0,
JPL40,powder,75.788,5.385,8.344,0.593,55.5,3.943,26.123,1.856,7.139,0.507,5.384,0.383,317,22.6,44.2,
JPL43,pellet,57.019,2.347,6.276,0.258,41.865,1.723,19.705,0.811,5.386,0.222,4.061,0.167,164,6.8,26.3,
JPL43,powder,70.043,5.001,7.271,0.551,51.323,3.665,24.157,1.725,6.602,0.471,4.979,0.356,232,16.6,36.9,
JPL48,pellet,56.429,2.335,6.212,0.257,41.395,1.713,19.484,0.806,5.325,0.22,4.015,0.166,169,7,25.6,
JPL48,powder,50.409,5.102,5.546,0.561,37.343,3.779,17.577,1.779,4.807,0.486,3.618,0.366,186,18.8,7.2,
JPL50,pellet,71.205,2.886,7.448,0.252,52.345,1.679,24.638,0.79,6.734,0.216,5.077,0.163,221,7.1,44.1,
JPL50,powder,64.914,5.32,7.146,0.586,47.571,3.898,22.391,1.835,6.119,0.501,4.615,0.378,242,19.9,31.9,
JPL51,pellet,99.289,3.042,10.928,0.335,72.933,2.235,34.329,1.052,9.363,0.287,7.073,0.217,265,8.1,79.2,
JPL51,powder,99.443,5.818,10.939,0.64,73.746,4.314,34.714,2.031,9.493,0.555,7.145,0.418,342,20.1,56.7,
JPL52,pellet,47.94,2.264,5.277,0.249,35.206,1.662,16.571,0.782,4.529,0.214,3.415,0.161,145,6.8,15.2,
JPL52,powder,60.992,5.171,6.715,0.569,44.621,3.783,21.003,1.781,5.739,0.487,4.33,0.367,274,23.2,28.5,
JPL58,pellet,185.964,2.697,20.47,0.297,136.558,1.981,64.279,0.932,17.568,0.255,13.245,0.192,53,0.001,187.9,
JPL58,powder,121.828,3.424,13.411,0.377,89.356,2.511,42.06,1.182,11.495,0.323,8.668,0.244,401,11.4,94.9,
JPL59,pellet,101.427,2.562,11.164,0.282,74.524,1.882,35.079,0.886,9.588,0.242,7.228,0.183,285,7.2,82.4,
JPL59,powder,124.172,3.491,13.67,0.384,91.008,2.559,42.837,1.204,11.707,0.329,8.829,0.248,426,12,98.9,
JPL61,pellet,98.012,2.738,10.789,0.301,71.921,2.009,33.853,0.946,9.252,0.258,6.976,0.195,272,7.6,77.6,
JPL61,powder,123.566,5.835,13.603,0.642,90.63,4.28,42.659,2.014,11.659,0.551,8.791,0.415,440,20.8,96.9,
JPL63,pellet,107.244,2.548,11.805,0.28,78.69,1.869,37.039,0.88,10.123,0.24,7.633,0.181,321,7.6,89.1,
JPL63,powder,116.908,6.069,12.871,0.668,85.61,4.444,40.296,2.092,11.012,0.572,8.306,0.431,439,22.8,91.9,
JPL68,pellet,99.529,2.465,10.955,0.271,73.113,1.811,34.414,0.852,9.406,0.233,7.091,0.176,298,7.4,79.6,
JPL68,powder,92.176,3.393,10.148,0.374,67.476,2.484,31.761,1.169,8.679,0.319,6.547,0.241,333,12.3,64.2,
JPL73,pellet,1126.774,4.915,124.055,0.541,823.754,3.594,387.861,1.692,105.94,0.462,79.945,0.349,3540,20,1404.4,
JPL73,powder,1339.956,7.498,147.546,0.826,978.166,5.473,460.576,2.577,125.788,0.704,94.945,0.531,5050,80,1580.8,
JPL76,pellet,463.044,3.627,50.972,0.399,339.626,2.661,159.88,1.252,43.689,0.342,32.946,0.258,1330,10,538.8,
JPL76,powder,451.6,4.794,49.717,0.528,330.799,3.512,155.721,1.653,42.551,0.452,32.094,0.341,1530,20,474.5,
JPL77,pellet,398.881,3.36,43.906,0.37,292.862,2.467,137.863,1.161,37.676,0.317,20.406,0.239,1110,10,453.6,
JPL77,powder,358.018,7.511,39.412,0.827,262.54,5.508,123.585,2.593,33.773,0.708,25.468,0.534,1170,20,359.9,
JPL79,pellet,650.564,3.928,71.612,0.432,477.32,2.882,224.709,1.357,61.403,0.371,46.302,0.28,1760,10,832.1,
JPL79,powder,727.538,9.874,80.097,1.087,532.693,7.28,250.778,3.403,68.518,0.93,51.685,0.701,2540,40,863.8,
JPL86,pellet,183.501,2.863,20.198,0.315,134.844,2.104,63.473,0.99,17.349,0.271,13.078,0.204,479,7.5,186.3,
JPL89,pellet,106.989,2.551,11.777,0.281,78.562,1.873,36.979,0.882,10.107,0.241,7.62,0.182,284,6.8,89.0,
JPL89,powder,99.286,5.585,10.932,0.615,72.599,4.084,34.172,1.922,9.338,0.525,7.045,0.396,340,19.2,72.2,
JPL94,pellet,84.494,2.457,9.304,0.271,61.938,1.801,29.154,0.848,7.968,0.232,6.009,0.175,288,8.4,60.7,
JPL94,powder,76.208,5.729,8.391,0.631,55.733,4.19,26.233,1.972,7.168,0.539,5.408,0.407,319,24,46.8,
JPL95,pellet,82.307,2.42,9.061,0.268,60.34,1.774,28.402,0.835,7.762,0.228,5.854,0.172,275,8.1,58.0,
JPL95,powder,63.232,5.618,6.963,0.619,46.181,4.103,21.737,1.931,5.939,0.528,4.482,0.398,242,21.5,32.5,
XPAH20,pellet,1434.603,5.323,157.904,0.586,1053.508,3.909,496.047,1.841,135.531,0.503,102.185,0.379,4290,20,1496.3,
XPAH20,powder,1592.735,13.643,175.349,1.502,1165.231,9.981,548.707,4.7,149.866,1.284,113.072,0.969,6710,70,1553.3,
XPAH26,pellet,65.208,2.308,7.182,0.254,47.407,1.678,22.313,0.79,6.095,0.216,4.603,0.163,117,5.1,35.5,
XPAH26,powder,38.164,2.808,4.204,0.308,27.712,2.039,13.043,0.96,3.563,0.262,2.691,0.198,105,8.3,4.0,
XPAH28,pellet,11113.75,13.912,1225.682,1.534,7811.862,9.779,3689.243,4.618,1001.433,1.254,762.269,0.954,23230,60,18237.8,
XPAH28,powder,3312.368,18.564,1027.265,2.048,6516.097,12.99,3077.236,6.134,835.164,1.665,636.321,1.269,29430,100,17251.4,
XPAH29,pellet,64.945,2.383,7.149,0.262,47.704,1.75,22.454,0.824,6.137,0.225,4.627,0.17,152,5.6,36.5,
XPAH29,powder,48.12,5.508,5.297,0.606,35.27,4.037,16.601,1.9,4.537,0.519,3.422,0.392,170,19.5,11.8,
XPAH55,pellet,46.628,2.205,5.132,0.243,34.248,1.62,16.12,0.762,4.406,0.208,3.322,0.157,108,5.1,13.5,
XPAH55,powder,51.549,2.722,5.675,0.3,37.786,1.995,17.786,0.939,4.861,0.257,3.666,0.194,173,9.1,14.9,
XPAH58,pellet,19.87,1.87,2.187,0.206,14.664,1.38,6.902,0.649,1.887,0.178,1.421,0.134,64,6,-19.7,
XPAH58,powder,20.856,2.356,2.295,0.259,15.371,1.736,7.235,0.817,1.978,0.223,1.49,0.168,105,11.9,-21.1,
JPL86,powder,176.873,6.402,19.472,0.705,129.560,4.689,60.985,2.207,16.666,0.603,12.570,0.455,NA,NA,NA,
